Acceptance Probability
Layer: 0, Bt :3.86112, At: 1, Delta_E: 120.756, Acceptance Probability: 1.22711e-59, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 25.4903, Acceptance Probability: 3.66854e-13, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 22.7151, Acceptance Probability: 8.2861e-12, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 57.8099, Acceptance Probability: 6.26934e-29, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 60.7455, Acceptance Probability: 2.318e-30, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 32.199, Acceptance Probability: 1.95716e-16, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 55.4538, Acceptance Probability: 8.8448e-28, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: -1.68862, Acceptance Probability: 6.66502, Is Accepted:1
Layer: 0, Bt :3.86112, At: 1, Delta_E: 40.5352, Acceptance Probability: 1.67786e-20, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 66.8541, Acceptance Probability: 2.42653e-33, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 134.07, Acceptance Probability: 3.91987e-66, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 114.074, Acceptance Probability: 2.23174e-56, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 66.6064, Acceptance Probability: 3.20497e-33, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: -0.622054, Acceptance Probability: 2.01127, Is Accepted:1
Layer: 0, Bt :3.86112, At: 1, Delta_E: 74.2845, Acceptance Probability: 5.75483e-37, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 65.2717, Acceptance Probability: 1.43541e-32, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 94.596, Acceptance Probability: 1.44448e-52, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 35.7614, Acceptance Probability: 2.5243e-20, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 9.96778, Acceptance Probability: 3.44733e-06, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 7.77006, Acceptance Probability: 5.51912e-05, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 7.93148, Acceptance Probability: 4.50206e-05, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 45.9912, Acceptance Probability: 6.25191e-26, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 70.4124, Acceptance Probability: 2.58671e-39, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 75.6249, Acceptance Probability: 3.59961e-42, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 52.5363, Acceptance Probability: 1.61869e-29, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: -7.39497, Acceptance Probability: 11286.8, Is Accepted:1
Layer: 0, Bt :4.39945, At: 1, Delta_E: 40.3463, Acceptance Probability: 7.75379e-23, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 21.1618, Acceptance Probability: 2.52896e-12, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 6.27762, Acceptance Probability: 0.000362874, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 12.7005, Acceptance Probability: 1.09621e-07, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 14.8876, Acceptance Probability: 6.93993e-09, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 5.80537, Acceptance Probability: 0.000658504, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 61.2775, Acceptance Probability: 2.62345e-34, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 56.3757, Acceptance Probability: 1.27395e-31, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 49.9233, Acceptance Probability: 4.37674e-28, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: -17.4707, Acceptance Probability: 3.75189e+09, Is Accepted:1
Layer: 0, Bt :4.39945, At: 1, Delta_E: 1.72224, Acceptance Probability: 0.113811, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 30.3781, Acceptance Probability: 2.25033e-17, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 49.0606, Acceptance Probability: 1.29991e-27, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 0, Acceptance Probability: 1, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 108.206, Acceptance Probability: 5.02738e-60, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 161.243, Acceptance Probability: 4.3277e-89, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 52.9382, Acceptance Probability: 9.74898e-30, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 12.3684, Acceptance Probability: 1.66692e-07, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 98.3873, Acceptance Probability: 1.2079e-54, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 83.5251, Acceptance Probability: 1.68568e-46, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 27.732, Acceptance Probability: 6.34449e-16, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 94.8429, Acceptance Probability: 1.05793e-52, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 34.7094, Acceptance Probability: 9.51959e-20, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 67.9284, Acceptance Probability: 5.94335e-38, Is Accepted:0
Layer: 0, Bt :4.39945, At: 1, Delta_E: 48.9225, Acceptance Probability: 1.54752e-27, Is Accepted:0
